med,sort,lat,lon
469095,Городские поликлиники,55.889301,37.662906
469096,Городские поликлиники,55.693225,37.748271
469097,Городские поликлиники,55.697076,37.548968
469098,Городские поликлиники,55.775893,37.50603
469099,Городские поликлиники,55.829712,37.455563
4690100,Городские поликлиники,55.814211,37.461835
4690101,Городские поликлиники,55.798364,37.485784
4690102,Городские поликлиники,55.819255,37.629959
4690103,Городские поликлиники,55.809541,37.631601
4690104,Городские поликлиники,55.814037,37.579769
4690105,Городские поликлиники,55.61063,37.534688
4690106,Городские поликлиники,55.804944,37.462394
4690107,Городские поликлиники,55.623852,37.488874
4690108,Городские поликлиники,55.603759,37.535519
4690109,Городские поликлиники,55.612227,37.708569
4690110,Городские поликлиники,55.627635,37.650207
4690111,Городские поликлиники,55.603917,37.714527
4690112,Городские поликлиники,55.606084,37.608922
4690113,Городские поликлиники,55.599269,37.587434
4690114,Городские поликлиники,55.889088,37.663813
4690115,Городские поликлиники,55.845606,37.364599
4690116,Городские поликлиники,55.829612,37.594969
4690117,Городские поликлиники,55.601031,37.601512
4690118,Городские поликлиники,55.590057,37.608551
4690119,Городские поликлиники,55.568011,37.581301
4690120,Городские поликлиники,55.738598,37.83016
4690121,Городские поликлиники,55.802354,37.802123
4690122,Городские поликлиники,55.760311,37.833034
4690123,Городские поликлиники,55.830667,37.349495
4690124,Городские поликлиники,55.851741,37.430723
4690125,Городские поликлиники,55.849648,37.361616
4690126,Городские поликлиники,55.842395,37.357174
4690127,Городские поликлиники,55.811547,37.407517
4690128,Городские поликлиники,55.794008,37.3957
4690129,Городские поликлиники,55.666356,37.762504
4690130,Городские поликлиники,55.675981,37.753192
4690131,Городские поликлиники,55.820686,37.818247
4690132,Городские поликлиники,55.813591,37.811285
4690133,Городские поликлиники,55.805196,37.826616
4690134,Городские поликлиники,55.788721,37.785893
4690135,Городские поликлиники,55.812495,37.779777
4690136,Городские поликлиники,55.763696,37.411746
4690137,Городские поликлиники,55.784176,37.352739
4690138,Городские поликлиники,55.734169,37.421903
4690139,Городские поликлиники,55.633243,37.59306
4690140,Городские поликлиники,55.621124,37.593123
4690141,Городские поликлиники,55.68878,37.491076
4690142,Городские поликлиники,55.676801,37.771498
4690143,Городские поликлиники,55.721604,37.462437
4690144,Городские поликлиники,55.712228,37.513518
4690145,Городские поликлиники,55.712325,37.478808
4690146,Городские поликлиники,55.637493,37.695512
4690147,Городские поликлиники,55.85083,37.346574
4690148,Городские поликлиники,55.634389,37.740851
4690149,Городские поликлиники,55.642202,37.772065
4690150,Городские поликлиники,55.638756,37.673681
4690151,Городские поликлиники,55.615765,37.297937
4690152,Городские поликлиники,55.651873,37.400074
4690153,Городские поликлиники,55.638504,37.365032
4690154,Городские поликлиники,55.63636,37.27095
4690155,Городские поликлиники,55.671269,37.464106
4690156,Городские поликлиники,55.662291,37.491302
4690157,Городские поликлиники,55.642881,37.401521
4690158,Городские поликлиники,55.616516,37.735124
4690159,Городские поликлиники,55.617881,37.720612
4690160,Городские поликлиники,55.87455,37.646613
4690161,Городские поликлиники,55.872416,37.710232
4690162,Городские поликлиники,55.877136,37.726035
4690163,Городские поликлиники,55.849511,37.405638
4690164,Городские поликлиники,55.862008,37.422337
4690165,Городские поликлиники,55.85131,37.430807
4690166,Городские поликлиники,55.861204,37.435853
4690167,Городские поликлиники,55.667601,37.565676
4690168,Городские поликлиники,55.687612,37.594301
4690169,Городские поликлиники,55.86695,37.474449
4690170,Городские поликлиники,55.681719,37.550139
4690171,Городские поликлиники,55.760362,37.567548
4690172,Городские поликлиники,55.756201,37.54273
4690173,Городские поликлиники,55.753092,37.521286
4690174,Городские поликлиники,55.765267,37.566384
4690175,Городские поликлиники,55.763894,37.4789
4690176,Городские поликлиники,55.747857,37.555617
4690177,Городские поликлиники,55.685201,37.851911
4690178,Городские поликлиники,55.699198,37.848163
4690179,Городские поликлиники,55.699239,37.810388
4690180,Городские поликлиники,55.677629,37.597729
4690181,Городские поликлиники,55.719634,37.797403
4690182,Городские поликлиники,55.683541,37.916926
4690183,Городские поликлиники,55.698673,37.92983
4690184,Городские поликлиники,55.765982,37.594359
4690185,Городские поликлиники,55.760538,37.59759
4690186,Городские поликлиники,55.750229,37.590841
4690187,Городские поликлиники,55.650747,37.747175
4690188,Городские поликлиники,55.817849,37.488221
4690189,Городские поликлиники,55.86801,37.492277
4690190,Городские поликлиники,55.866335,37.475222
4690191,Городские поликлиники,55.867025,37.473343
4690192,Городские поликлиники,55.818399,37.494886
4690193,Городские поликлиники,55.854624,37.501282
4690194,Городские поликлиники,55.948189,37.349863
4690195,Городские поликлиники,55.763758,37.666378
4690196,Городские поликлиники,55.741628,37.685494
4690197,Городские поликлиники,55.737859,37.656717
4690198,Городские поликлиники,55.770819,37.634378
4690199,Городские поликлиники,55.780957,37.665153
4690200,Городские поликлиники,55.781033,37.638224
4690201,Городские поликлиники,55.791712,37.685838
4690202,Городские поликлиники,55.751949,37.682449
4690203,Городские поликлиники,55.584554,37.649145
4690204,Городские поликлиники,55.590473,37.668602
4690205,Городские поликлиники,55.590802,37.653651
4690206,Городские поликлиники,55.58628,37.669492
4690207,Городские поликлиники,55.602772,37.660706
4690208,Городские поликлиники,55.794116,37.581493
4690209,Городские поликлиники,55.839739,37.542637
4690210,Городские поликлиники,55.823242,37.564676
4690211,Городские поликлиники,55.800708,37.544962
4690212,Городские поликлиники,55.801977,37.51945
4690213,Городские поликлиники,55.800895,37.560863
4690214,Городские поликлиники,55.783842,37.51986
4690215,Городские поликлиники,55.782091,37.577268
4690216,Городские поликлиники,55.785518,37.712932
4690217,Городские поликлиники,55.785991,37.713326
4690218,Городские поликлиники,55.793402,37.725216
4690219,Городские поликлиники,55.771146,37.681721
4690220,Городские поликлиники,55.801975,37.778664
4690221,Городские поликлиники,55.715939,37.889924
4690222,Городские поликлиники,55.725849,37.80687
4690223,Городские поликлиники,55.74263,37.875027
4690224,Городские поликлиники,55.681389,37.661377
4690225,Городские поликлиники,55.724891,37.653102
4690226,Городские поликлиники,55.686032,37.695184
4690227,Городские поликлиники,55.714593,37.628632
4690228,Городские поликлиники,55.696447,37.622507
4690229,Городские поликлиники,55.727021,37.632743
4690230,Городские поликлиники,55.740695,37.575111
