edu,sort,lat,lon
15422877,ДОО,55.651504,37.630718
15523612,ДОО,55.723749,37.76926
15763561,Школы,55.692997,37.720541
32171160,Школы,55.846837,37.516617
15853303,Школы,55.704214,37.756199
15863565,ДОО,55.682054,37.719227
15913559,Школы,55.689038,37.72186
15933642,Школы,55.694818,37.736189
16051770,Школы,55.891283,37.664133
16131653,Школы,55.817771,37.621917
16263312,Школы,55.711877,37.76601
16352110,ДОО,55.77469,37.484219
16393675,ДОО,55.701821,37.684085
16462078,ДОО,55.786374,37.451919
16633313,Школы,55.707221,37.770977
16653620,ДОО,55.716865,37.779092
168168,ОК,55.659957,37.530235
168467,Школы,55.733557,37.836652
169169,Школы,55.643489,37.662769
17063655,ДОО,55.698215,37.749376
17203483,ДОО,55.652762,37.716069
17263435,ДОО,55.645185,37.722747
17311420,Школы,55.799152,37.525456
17503520,Школы,55.699632,37.943365
17533519,ДОО,55.69888,37.943161
17663473,Школы,55.666552,37.757704
17693459,Школы,55.659731,37.775711
17703460,ДОО,55.664071,37.774876
17733506,ДОО,55.666853,37.76502
17832102,Школы,55.780472,37.457269
1818,ДОО,55.67565,37.634628
181091,ДОО,55.875104,37.552351
18112073,ДОО,55.770765,37.480053
1821799,Школы,55.926781,37.542798
18213532,Школы,55.6995,37.923071
189582,ДОО,55.7325,37.414128
18433542,Школы,55.705762,37.919048
18453550,Школы,55.73892,37.741236
18703330,ДОО,55.700779,37.769954
1874154,ДОО,55.814822,37.824006
18783338,ДОО,55.760993,37.714919
18863420,ДОО,55.651143,37.763772
1892233,ДОО,55.711253,37.882156
18934149,ДОО,55.532104,37.515324
19233400,ДОО,55.670701,37.757633
19303446,ДОО,55.658661,37.775158
19671444,Школы,55.807053,37.64193
19431403,ДОО,55.78562,37.536946
19483394,Школы,55.67498,37.74129
1949598,ДОО,55.740998,37.424606
19523427,Школы,55.652272,37.760033
19611727,ДОО,55.836205,37.66292
197552,Школы,55.760798,37.405067
19853880,ДОО,55.67536,37.529931
19863872,ДОО,55.682378,37.533278
19873830,Школы,55.634308,37.534408
199550,ДОО,55.749094,37.421751
19993765,Школы,55.69798,37.556397
20033696,Школы,55.684886,37.574193
20043687,Школы,55.690143,37.571566
201201,ДОО,55.520927,37.271825
201557,Школы,55.732347,37.408564
20143925,Школы,55.669943,37.549041
20922275,Школы,55.620679,37.476399
20173949,Школы,55.566148,37.570497
20633962,ДОО,55.568744,37.570121
20733932,Школы,55.66618,37.524936
2087852,ДОО,55.748316,37.502237
211211,ДОО,55.724776,37.469684
211623,Школы,55.722798,37.414446
