УИН,количество этажей всего,высота объекта,Этажность объекта подземная,Этажность объекта наземная,Количество квартир,Общая площадь объекта,Площадь жилых помещений объекта,lon,lat,pricemetr,metroprox,rwprox,medprox,kidprox,schoolprox,cemetprox,industrprox,liveratio,highratio
HH7138-10-0002-001,6.0,26.51,1.0,5.0,24.0,6878.2,3175.8,37.57298637186068,55.76935050079497,0.4186654580772451,0.009282370394688218,0.01696304564446715,0.007763136797018093,0.0013143549587884833,0.003367704982138584,0.018628904682552114,0.007228825921573491,0.46171963595126636,5.3020000000000005
IH0988-10-0002-001,19.0,65.0,1.0,18.0,414.0,39787.8,26721.8,37.69971554620352,55.68537737445592,0.3302885342255793,0.026855041184050365,0.018780992485904455,0.004578585545518232,0.0035824117903117867,0.004706043989686952,0.04916075982167876,0.02022353559339786,0.6716078798023514,3.611111111111111
HH9243-10-0002-001,8.0,30.7,1.0,7.0,34.0,6667.4,5499.3,37.641444448515614,55.76167013305433,0.45703994135484766,0.004846374594187686,0.016279431580728095,0.00371493342317056,0.006238267767564707,0.004335116926999491,0.046749261564761405,0.019411119654037124,0.8248042715301318,4.385714285714285
HI0224-10-0002-001,13.0,45.0,2.0,11.0,296.0,37204.3,20656.7,37.342773608513326,55.62608914848333,0.20131834588648226,0.011052220679382302,0.010232014401585238,0.0008165035053736309,0.0035152267449038146,0.0032428334378333695,0.035694117994603064,0.023441639591296057,0.555223455353279,4.090909090909091
IH8377-10-0001-001,19.0,54.8,1.0,17.0,288.0,28118.3,16255.1,37.94514913375466,55.70345445505428,0.17689486931056794,0.018923483688959988,0.09037099668983173,0.0075835141439913895,0.0034118855575683057,0.0042183285666820445,0.06006988018459629,0.01806447925749759,0.5780968266218086,3.2235294117647055
GJ9740-10-0003-001,4.0,17.64,,4.0,175.0,12178.5,8907.3,37.32501821388992,55.43369754880702,0.10889357205877603,0.18697126276372067,0.17685432204711837,0.046267411424574634,0.02491028840010458,0.04391488021487077,0.051773498345898866,0.0885529048152148,0.7313954920556718,4.41
IH2409-10-0002-001,26.0,80.77,1.0,25.0,1351.0,86272.2,52225.3,37.74940734479158,55.818207369660016,0.32624062983357394,0.014979860831576519,0.012502236470352247,0.00701714347176256,0.0018289613700262582,0.0049118742049608045,0.022669141655840844,0.0458592954017549,0.6053549115474046,3.2308
HH5443-10-0002-001,37.0,109.47,4.0,33.0,1251.0,103825.0,68983.1,37.51705608836701,55.760171627408255,0.47001866165456874,0.009076042643986025,0.009259291531254802,0.008247016227859906,0.002461764704404506,0.0010465547126760374,0.03487247080401404,0.0018793457648158098,0.6644170479171684,3.3172727272727274
TT0000-10-0790-001,33.0,100.0,2.0,41.0,446.0,27491.6,18693.8,37.54910823582523,55.858481403147756,0.322397483972041,0.008355950910015189,0.008528155879095157,0.0067220829149729575,0.0011030039083326376,0.004346575912151118,0.04405599684658478,0.0183835107575228,0.6799822491233686,2.4390243902439024
IH2597-10-0002-001,18.0,53.15,2.0,16.0,224.0,18940.9,10899.0,37.75107749860454,55.67082037943172,0.2571189825172167,0.011088913592367544,0.00429086983566481,0.005297264782734513,0.001211798753543519,0.0016247689096417213,0.03729292964208523,0.011470836098009961,0.5754214424868934,3.321875
